ID,First_Name,Last_Name,Pos1,Pos2,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
huntede01,De'Andre,Hunter,SF,PF,22,ATL,63,62,2018,6.5,15.8,0.41,2.5,7,0.355,4,8.8,0.454,2.5,3.3,0.764,1,5.6,6.6,2.6,1,0.4,2.4,4.2,18,100,117,8.6,0.521,0.445,0.211,2.3,13.1,7.6,8,1,0.7,12.1,17.5,-0.4,0.5,0.1,0.002,-2.9,-1.8,-4.7,-1.4,7068360
hutchch01,Chandler,Hutchison,SF,SG,23,CHI,28,10,527,7.3,16,0.457,1.1,3.5,0.316,6.2,12.5,0.496,4.2,7.1,0.59,1.6,8.2,9.9,2.4,2.5,0.6,2.5,4.3,19.9,101,108,12.4,0.521,0.217,0.446,3.6,19.8,11.3,7.4,2.5,1.3,11.4,19.1,0,0.7,0.7,0.06,-2.7,0.1,-2.6,-0.1,2332320
ibakase01,Serge,Ibaka,C,PF,30,TOR,55,27,1485,11,21.5,0.512,2.2,5.8,0.385,8.7,15.6,0.559,2.9,4,0.718,3.7,10.8,14.5,2.5,0.9,1.5,3.5,4.9,27.1,108,104,17.3,0.583,0.272,0.185,8.3,23.5,16.1,8.6,0.9,3,13.1,24,1.2,2.7,3.9,0.126,0.1,0,0.1,0.8,23271604
iguodan01,Andre,Iguodala,SG,SF,36,MIA,21,0,418,4.4,10.3,0.432,1.6,5.5,0.298,2.8,4.8,0.585,0.7,1.8,0.4,2,7.1,9.1,6,1.6,2.5,3,4.1,11.2,101,107,10.5,0.507,0.534,0.17,4.7,15.7,10.4,16.9,1.6,5,21.6,12.7,0,0.6,0.6,0.065,-1.9,1.4,-0.5,0.2,17185185
ilyaser01,Ersan,Ilyasova,PF,SF,32,MIL,63,8,986,6.8,14.5,0.466,2.3,6.3,0.365,4.4,8.2,0.545,3.3,4,0.828,2.9,11.1,14,2.3,1.1,0.8,1.6,4.4,19.2,119,102,14.9,0.589,0.438,0.278,6.6,22.7,15.1,6.6,1.1,1.5,8.8,16.1,1.6,2,3.6,0.174,-0.3,0.8,0.4,0.6,7000000
inglejo01,Joe,Ingles,SF,PG,32,UTA,72,45,2137,5.6,12.6,0.445,3.2,8,0.399,2.4,4.6,0.525,1.7,2.1,0.787,0.6,5.7,6.3,8.5,1.5,0.3,3.2,3.5,16.1,115,111,12.6,0.595,0.638,0.17,1.4,12.5,7.2,24.4,1.5,0.4,19.3,15.1,2.7,2.1,4.8,0.108,0,0.7,0.7,1.5,11954546
ingrabr01,Brandon,Ingram,PF,SF,22,NOP,62,62,2104,11.2,24.1,0.463,3.3,8.4,0.391,7.9,15.7,0.501,6.9,8.1,0.851,1.1,7.2,8.4,5.7,1.3,0.8,4.2,3.9,32.5,112,112,18.8,0.587,0.35,0.336,2.6,16.6,9.6,19.3,1.3,1.5,13.1,28.1,3.3,1.8,5.1,0.115,2.5,-0.4,2.1,2.2,7265485
irvinky01,Kyrie,Irving,PG,SG,27,BRK,20,20,658,14.3,29.9,0.478,4,10.2,0.394,10.3,19.7,0.522,6.8,7.3,0.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.4,119,109,26.2,0.595,0.341,0.245,3.5,12.5,8.1,36.7,1.9,1.3,10.1,32.6,2.1,0.8,2.9,0.21,6.7,0.9,7.7,1.6,31742000
isaacjo01,Jonathan,Isaac,SF,PF,22,ORL,34,32,980,7.7,16.5,0.47,1.6,4.7,0.34,6.2,11.8,0.521,3,3.8,0.779,2.9,8.6,11.5,2.4,2.6,3.9,2.4,4.1,20.1,107,103,17.3,0.552,0.283,0.232,6.2,19.6,12.7,7.4,2.6,7.2,11.8,18.3,0.6,1.9,2.5,0.12,-0.5,2.9,2.3,1.1,5806440
iwundwe01,Wesley,Iwundu,SF,SG,25,ORL,52,21,953,5,11.9,0.416,1.4,4.2,0.341,3.5,7.7,0.457,4,5,0.804,1.2,5.5,6.7,3.1,1.3,0.7,1.3,4.1,15.3,113,112,10.3,0.544,0.352,0.416,2.6,12.5,7.4,8.8,1.3,1.2,8.6,13.7,0.8,0.8,1.7,0.084,-2.7,0,-2.6,-0.2,1618520
jacksfr01,Frank,Jackson,PG,PG,21,NOP,59,2,797,7.8,19.2,0.405,2.7,8.4,0.326,5.1,10.9,0.465,3.3,4.4,0.747,1.3,3.5,4.8,3.5,1,0.2,2.8,4.5,21.5,100,116,9.1,0.51,0.435,0.227,2.9,8.1,5.5,10.8,1,0.4,11.9,21.2,-0.2,0.3,0.2,0.01,-3.3,-2.2,-5.5,-0.7,1618520
jacksja02,Jaren,Jackson,C,PF,20,MEM,57,57,1622,10.2,21.7,0.469,4.2,10.6,0.394,6,11.1,0.54,4,5.4,0.747,1.6,6,7.5,2.2,1.2,2.6,2.8,6.7,28.5,110,110,16.3,0.593,0.489,0.247,3.6,13.2,8.5,7.2,1.2,5,10.6,24,1.6,1.8,3.5,0.103,0.3,0.1,0.4,1,6927480
jacksjo02,Josh,Jackson,SG,SF,22,MEM,22,0,381,8.6,19.5,0.44,2.8,8.8,0.319,5.8,10.7,0.54,4.3,6.1,0.7,1.3,6.7,8.1,4.3,2.2,1.1,3.4,4.9,24.3,103,109,14.1,0.547,0.453,0.314,3.1,14.9,9.1,13.1,2.2,2.1,13.4,22.8,0.1,0.5,0.5,0.069,-1.1,1.1,0,0.2,7059480
jacksju01,Justin,Jackson,PF,SF,24,DAL,65,3,1045,6.2,15.8,0.396,2.2,7.5,0.294,4,8.2,0.489,1.9,2.3,0.84,1.2,5.9,7.1,2.4,0.7,0.5,0.6,3.2,16.6,108,115,9.5,0.496,0.478,0.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,0.6,0.6,1.2,0.054,-2.1,-1.3,-3.4,-0.4,3280920
jacksre01,Reggie,Jackson,PG,PG,29,DET,14,10,381,9.8,25.6,0.384,4,10.6,0.378,5.8,15,0.388,3.4,4.3,0.788,1.4,3.9,5.3,9.3,1,0.1,3,2.7,27,106,117,14.7,0.492,0.414,0.167,3.2,9.1,6.1,30.8,1,0.2,9.8,27,0.2,0.1,0.4,0.047,1.7,-2.2,-0.5,0.1,734025
jacksre01,Reggie,Jackson,PG,PG,29,LAC,17,6,362,7.6,16.7,0.453,3.4,8.2,0.413,4.2,8.5,0.492,2.5,2.7,0.905,0.8,5.9,6.7,7.1,0.7,0.5,3.7,5,21,111,111,12.6,0.587,0.492,0.164,1.8,12.6,7.3,21.3,0.7,1,16.9,19.1,0.4,0.4,0.8,0.1,-0.1,-0.2,-0.3,0.2,734025
jamesju01,Justin,James,SG,SF,23,SAC,36,0,232,7.3,17.6,0.417,1.9,6.1,0.31,5.4,11.5,0.473,2.1,4.4,0.476,1.3,5.4,6.7,3.8,1.3,1.9,1.7,3.6,18.6,99,112,11,0.477,0.345,0.25,2.8,12.9,7.8,11.2,1.3,3.7,7.9,18.9,-0.1,0.2,0.1,0.028,-1.4,-0.1,-1.4,0,898310
jamesle01,LeBron,James,PG,SF,35,LAL,67,67,2316,13.2,26.8,0.493,3,8.7,0.348,10.2,18,0.564,5.4,7.8,0.693,1.4,9.4,10.8,14,1.6,0.7,5.4,2.4,34.9,116,106,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,37436858
jeffeam01,Amile,Jefferson,PF,SF,26,ORL,18,0,74,3.3,9.2,0.357,0,0,0,3.3,9.2,0.357,3.3,9.2,0.357,6.6,8.6,15.1,2.6,0.7,2,2,4.6,9.9,95,110,8.9,0.372,0,1,14.1,19.5,16.7,7.2,0.7,3.7,13,13.5,0,0.1,0,0.023,-4.8,-1,-5.8,-0.1,1445697
jeffrda01,DaQuan,Jeffries,SG,SF,22,SAC,13,0,141,6.9,13.8,0.5,1.7,6.2,0.278,5.2,7.6,0.682,1.7,2.1,0.833,1,5.2,6.2,2.4,1.4,0.3,0.7,6.5,17.2,121,114,11.2,0.586,0.45,0.15,2.3,12.3,7.2,7.1,1.4,0.7,4.5,13.7,0.2,0.1,0.3,0.1,-2.7,-1.1,-3.8,-0.1,898310
jeromty01,Ty,Jerome,PG,SG,22,PHO,31,0,328,5.5,16.3,0.336,2,7.2,0.28,3.5,9.1,0.381,1.7,2.3,0.75,1,5.6,6.6,6.4,2.2,0.4,2.6,4.2,14.7,92,111,7.9,0.425,0.442,0.142,2.3,13.4,7.8,18.2,2.2,0.8,13,17.9,-0.3,0.3,0,-0.003,-4,0.1,-3.8,-0.2,2193480
johnsal02,Alize,Johnson,SF,PF,23,IND,17,1,118,4.9,11.9,0.414,1.2,3.3,0.375,3.7,8.6,0.429,2.9,4.1,0.7,6.6,13.2,19.7,2.9,1.2,0.8,2.9,4.9,14,108,105,13.3,0.509,0.276,0.345,15,29.4,22.3,7.7,1.2,1.5,17.3,15,0.1,0.2,0.3,0.111,-1.8,0.3,-1.5,0,1416852
johnsbj01,B.J.,Johnson,SF,PF,24,ORL,10,0,83,5.3,18.8,0.281,1.8,5.3,0.333,3.5,13.5,0.261,5.3,5.9,0.9,1.8,7,8.8,1.8,1.8,0,3.5,1.8,17.6,81,111,5.4,0.412,0.281,0.313,3.8,16.1,9.7,5.1,1.8,0,14.2,22.1,-0.2,0.1,-0.1,-0.074,-5.8,-3.2,-9,-0.1,79568
johnsca02,Cameron,Johnson,PF,SF,23,PHO,57,9,1255,6.6,15.3,0.435,4,10.3,0.39,2.6,5,0.526,1.7,2.2,0.807,1.8,5.2,7.1,2.6,1.4,0.8,1.2,3.3,19,117,113,12.9,0.586,0.672,0.141,4.3,12.4,8.3,7.7,1.4,1.4,6.9,15.7,1.7,1,2.7,0.102,0.8,-0.4,0.3,0.7,4033440
johnsja01,James,Johnson,PF,SF,32,MIA,18,0,281,6.8,15.1,0.448,2.8,7.8,0.356,4,7.3,0.548,1.4,2.4,0.571,1.4,7.6,9,3.6,1,2.3,2.6,5.9,17.7,103,109,11.1,0.547,0.517,0.161,3.3,16.9,10.4,11.1,1,4.6,13.9,17,0,0.4,0.4,0.065,-2.6,0.8,-1.8,0,15349400
johnsja01,James,Johnson,PF,SF,32,MIN,14,1,338,8.8,17.6,0.5,2.3,6.3,0.37,6.5,11.3,0.573,3.2,4.7,0.676,2.3,6.7,9.1,7.3,2.6,2.6,4.5,6.3,23.1,109,108,17.9,0.588,0.359,0.266,5.1,15.9,10.3,24.4,2.6,4.7,18.8,21.4,0.3,0.4,0.8,0.109,0.1,1.5,1.6,0.3,15349400
johnske04,Keldon,Johnson,SF,SG,20,SAS,17,1,301,8.4,14.1,0.596,2.1,3.5,0.591,6.4,10.6,0.597,5.6,7,0.795,1.6,7.5,9,2.4,2.2,0.3,2.1,4.4,24.4,131,113,19.1,0.711,0.247,0.494,3.6,16.8,10.2,7.2,2.2,0.6,10.7,17.4,0.8,0.2,1.1,0.174,1.5,0,1.5,0.3,1950600
johnsst04,Stanley,Johnson,PF,SF,23,TOR,25,0,150,7,18.7,0.373,2.2,7.6,0.292,4.8,11.1,0.429,2.9,5.1,0.563,2.2,9.5,11.7,6.3,1.9,1.3,4.8,5.1,19,90,103,9.9,0.454,0.407,0.271,5,20.6,13,19.4,1.9,2.6,18.5,23.1,-0.3,0.3,0,0.014,-3.9,1.4,-2.6,0,3623000
johnsty01,Tyler,Johnson,SG,PG,27,PHO,31,3,515,6,15.7,0.38,2.2,7.6,0.289,3.8,8.1,0.466,2.2,2.9,0.75,0.9,3.9,4.8,4.6,1.1,0.7,2.2,4,16.4,98,114,8.1,0.481,0.485,0.187,2.1,9.2,5.6,13.3,1.1,1.4,11.5,17.3,-0.2,0.3,0.2,0.014,-3,-0.6,-3.6,-0.2,19245370
johnsty01,Tyler,Johnson,SG,PG,27,BRK,8,4,194,7.8,19.3,0.405,3.4,8.8,0.389,4.4,10.5,0.419,4.4,4.4,1,2,3.9,5.9,5.9,1,0.2,1.2,3.7,23.4,121,113,15.6,0.552,0.456,0.228,4.4,8.4,6.4,18.6,1,0.4,5.4,19.8,0.4,0.1,0.6,0.144,0.6,-1.7,-1.1,0,19245370
